snapshot_id	 source_id	 dataset_version	 source_url	 acquired_at	 local_path	 sha256	 file_format	 notes
bdn_ovicaprini_sardegna_2025	bdn_vetinfo_statistiche	2025-12-31	https://www.vetinfo.it/j6_statistiche/index.html#/report-pbi/89	2026-07-16	public/data/bdn_ovicaprini_sardegna_2025.json	NA	JSON	Aggregato regionale: ovini 2.631.332 e caprini 241.428; attività ALLEVAMENTO; nessun dato aziendale o coordinate
aifa_osmed_2024	aifa_osmed_antibiotici	2024	https://www.aifa.gov.it/documents/20142/3610201/Sardegna_Osmed_2024.pdf	2026-07-15	raw/sources/aifa/Sardegna_Osmed_2024.pdf	61893ea780767a3044e826f500a2a1962fc8aac4d07b551de0432c6863b0630d	PDF	Originale PDF scaricato; valori regionali da estrarre e verificare
ar_iss_2024	ar_iss	RIS-5/2025	https://www.epicentro.iss.it/antibiotico-resistenza/ar-iss/RIS-5_2025.pdf	2026-07-15	raw/sources/ar_iss/RIS-5_2025.pdf	50174dc846e19c6ead2ea4d55982fc098487251a5edab8d484d6101b31482f0f	PDF	Originale PDF; dati 2024; copertura Sardegna 75,4%
who_glass_bulk_2022	who_glass_amr	2022-02-09	https://ghobulkdownloads.blob.core.windows.net/ghocontainer/global-antimicrobial-resistance-and-use-surveillance-system-glass.zip	2026-07-16	raw/sources/who_glass/glass.zip	E2F0C222EEA7D39D6A569B065EFF26050424C36954E770B266A2B67BB718E169	ZIP	Pacchetto GHO/GLASS; benchmark globale; nessun record ITA rilevato nei CSV inclusi
egas_schema5_bidighinzu_florinas	egas_abbanoa	2013	https://www.egas.sardegna.it/trasparenza/ente_3/upload/trasp/20131211_relazione__finale_Direttore_Generale_Meloni_con_allegati.pdf	2026-07-16	raw/sources/abbanoa_egas/egas_relazione_2013.pdf	BE0660388FA05548A1DBE5D6AE69026CE21E3A1F71ECB9950BDEBA1D135A6D80	PDF	Documento EGAS; Schema n.5 Bidighinzu-Florinas; sostituzione diramazione Codrongianos; non contiene coordinate del depuratore
